transition_date,year,month,time_period,person_id,age_group,gender,race,judicial_district,prior_length_of_incarceration,state_code
2017-01-13,2017,1,months_25_60,0007794963,<25,MALE,HISPANIC,JUDICIAL_DISTRICT_1,0,US_OZ
2017-01-27,2017,1,months_25_60,0009097061,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,0,US_OZ
2017-01-22,2017,1,months_25_60,0006789034,<25,MALE,BLACK,JUDICIAL_DISTRICT_1,6,US_OZ
2017-01-22,2017,1,months_25_60,0007837379,<25,MALE,BLACK,JUDICIAL_DISTRICT_1,6,US_OZ
2017-01-18,2017,1,months_25_60,0003718988,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,6,US_OZ
2017-01-05,2017,1,months_25_60,0003118162,<25,MALE,HISPANIC,JUDICIAL_DISTRICT_1,12,US_OZ
2017-01-10,2017,1,months_25_60,0000203385,<25,MALE,HISPANIC,JUDICIAL_DISTRICT_1,12,US_OZ
2017-01-18,2017,1,months_25_60,0001684461,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,12,US_OZ
2017-01-25,2017,1,months_25_60,0004960946,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,12,US_OZ
2017-01-17,2017,1,months_25_60,0000256989,<25,MALE,BLACK,JUDICIAL_DISTRICT_1,18,US_OZ
2017-01-27,2017,1,months_25_60,0003200616,<25,MALE,BLACK,JUDICIAL_DISTRICT_1,18,US_OZ
2017-01-21,2017,1,months_25_60,0006138167,<25,MALE,HISPANIC,JUDICIAL_DISTRICT_1,18,US_OZ
2017-01-18,2017,1,months_25_60,0007008220,<25,MALE,HISPANIC,JUDICIAL_DISTRICT_1,18,US_OZ
2017-01-18,2017,1,months_25_60,0002123084,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,18,US_OZ
2017-01-15,2017,1,months_25_60,0006573256,<25,MALE,BLACK,JUDICIAL_DISTRICT_1,24,US_OZ
2017-01-18,2017,1,months_25_60,0001172816,<25,MALE,WHITE,JUDICIAL_DISTRICT_1,24,US_OZ
